Time T dT flags
1.3417949515E+11 2.9039000E+02 -2.9913000E+01 0.0000000E+00
1.3417992985E+11 2.9039000E+02 -2.9919000E+01 0.0000000E+00
1.3418036454E+11 2.9034100E+02 -2.9913000E+01 0.0000000E+00
1.3418079923E+11 2.9034100E+02 -2.9913000E+01 0.0000000E+00
1.3418123392E+11 2.9025900E+02 -2.9912000E+01 0.0000000E+00
1.3418166861E+11 2.9021000E+02 -2.9901000E+01 0.0000000E+00
1.3418210331E+11 2.9024400E+02 -2.9906000E+01 0.0000000E+00
1.3418253800E+11 2.9021000E+02 -2.9906000E+01 0.0000000E+00
1.3418297269E+11 2.9007900E+02 -2.9894000E+01 0.0000000E+00
1.3418340738E+11 2.9007900E+02 -2.9894000E+01 0.0000000E+00
1.3418384208E+11 2.9007900E+02 -2.9905000E+01 0.0000000E+00
1.3418427677E+11 2.9007900E+02 -2.9889000E+01 0.0000000E+00
1.3418471146E+11 2.9007900E+02 -2.9899000E+01 0.0000000E+00
1.3418514615E+11 2.8999700E+02 -2.9893000E+01 0.0000000E+00
1.3418558085E+11 2.8999700E+02 -2.9893000E+01 0.0000000E+00
1.3418601554E+11 2.8994800E+02 -2.9882000E+01 0.0000000E+00
1.3418645023E+11 2.8990000E+02 -2.9881000E+01 0.0000000E+00
1.3418688492E+11 2.8985100E+02 -2.9881000E+01 0.0000000E+00
1.3418731962E+11 2.8986600E+02 -2.9881000E+01 0.0000000E+00
1.3418775431E+11 2.8985100E+02 -2.9876000E+01 0.0000000E+00
1.3418818900E+11 2.8980200E+02 -2.9875000E+01 0.0000000E+00
1.3418862370E+11 2.8972000E+02 -2.9874000E+01 0.0000000E+00
1.3418905839E+11 2.8972000E+02 -2.9869000E+01 0.0000000E+00
1.3418949308E+11 2.8968700E+02 -2.9863000E+01 0.0000000E+00
1.3418992777E+11 2.8963800E+02 -2.9863000E+01 0.0000000E+00
1.3419036247E+11 2.8962300E+02 -2.9863000E+01 0.0000000E+00
1.3419079716E+11 2.8960500E+02 -2.9857000E+01 0.0000000E+00
1.3419123185E+11 2.8959000E+02 -2.9857000E+01 0.0000000E+00
1.3419166654E+11 2.8954100E+02 -2.9851000E+01 0.0000000E+00
1.3419210124E+11 2.8949300E+02 -2.9856000E+01 0.0000000E+00
1.3419253593E+11 2.8949300E+02 -2.9850000E+01 0.0000000E+00
1.3419297062E+11 2.8944400E+02 -2.9845000E+01 0.0000000E+00
