Time T dT flags
1.3417944564E+11 2.5333100E+02 4.1500000E-01 0.0000000E+00
1.3417988034E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3418031503E+11 2.5333100E+02 4.1500000E-01 0.0000000E+00
1.3418074972E+11 2.5333100E+02 4.1500000E-01 0.0000000E+00
1.3418118442E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3418161911E+11 2.5336100E+02 4.1500000E-01 0.0000000E+00
1.3418205380E+11 2.5328500E+02 4.1500000E-01 0.0000000E+00
1.3418248849E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3418292319E+11 2.5336100E+02 4.1500000E-01 0.0000000E+00
1.3418335788E+11 2.5322500E+02 4.1500000E-01 0.0000000E+00
1.3418379257E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3418422726E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3418466196E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3418509665E+11 2.5333100E+02 4.1500000E-01 0.0000000E+00
1.3418553134E+11 2.5328500E+02 4.1500000E-01 0.0000000E+00
1.3418596603E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3418640073E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3418683542E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3418727011E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3418770480E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3418813950E+11 2.5333100E+02 4.1500000E-01 0.0000000E+00
1.3418857419E+11 2.5333100E+02 4.1400000E-01 0.0000000E+00
1.3418900888E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3418944357E+11 2.5329300E+02 4.1400000E-01 0.0000000E+00
1.3418987827E+11 2.5328500E+02 4.1500000E-01 0.0000000E+00
1.3419031296E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419074765E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419118234E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419161704E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419205173E+11 2.5329300E+02 4.1400000E-01 0.0000000E+00
1.3419248642E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419292112E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419335581E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419379050E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419422520E+11 2.5329300E+02 4.1400000E-01 0.0000000E+00
1.3419465989E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419509458E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419552927E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419596397E+11 2.5328500E+02 4.1500000E-01 0.0000000E+00
1.3419639866E+11 2.5329300E+02 4.1500000E-01 0.0000000E+00
1.3419683335E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419726805E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419770274E+11 2.5332300E+02 4.1400000E-01 0.0000000E+00
1.3419813743E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419857213E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419900682E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419944151E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
1.3419987621E+11 2.5332300E+02 4.1500000E-01 0.0000000E+00
