Time            T               dT              flags          
1.6781236E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6781279E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6781323E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6781366E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6781410E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6781453E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6781497E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6781540E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6781584E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6781627E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6781671E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6781714E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6781758E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6781801E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6781845E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6781888E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6781932E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6781975E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782019E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782062E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782105E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6782149E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782192E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782236E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782279E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782323E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782366E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6782410E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782453E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782497E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782540E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6782584E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782627E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782671E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6782714E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782758E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6782801E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782844E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6782888E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6782931E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6782975E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783018E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783062E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783105E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783149E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6783192E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783236E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783279E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783323E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783366E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783410E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783453E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783497E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783540E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783583E+11  2.5645100E+02  1.5400000E-01  0.0000000E+00 
1.6783627E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783670E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783714E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783757E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6783801E+11  2.5651900E+02  1.5400000E-01  0.0000000E+00 
1.6783931E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6783975E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784018E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784062E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784105E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6784149E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784192E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6784236E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6784279E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6784323E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6784366E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784409E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6784453E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784496E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784540E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784583E+11  2.5645150E+02  1.5300000E-01  0.0000000E+00 
1.6784627E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6784670E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6784714E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784757E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784801E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6784844E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6784888E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6784931E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6784975E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6785018E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6785062E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6785105E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6785148E+11  2.5640550E+02  1.5300000E-01  0.0000000E+00 
1.6785192E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6785235E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6785279E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6785322E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6785366E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6785409E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6785453E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6785496E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6785540E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6785583E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6785627E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6785670E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6785714E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6785757E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6785801E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6785844E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
